plants,LED,,,Parameters,,,,,,,,,,,,,,,,,,,,
,R,G,B,stem diameter (mm),No. leaf,FW (g),DW (g),root FW (g),root DW (g),stem length (cm),leaf area (cm^2),root length (cm),root diameter (mm),leaf width,leaf length,,,,,,,,,
Brassica napus,66.66,,33.33,3.5,,,0.93,,0.14,9.7,44.74,,,,,,,,,,,,,
Brassica napus,66.66,,33.33,1.7,,,0.13,,0.02,8.13,18.46,,,,,,,,,,,,,
Green Basil,76,,24,,,,,,,22,670,,,,,,,,,,,,,
Green Basil,44,32,24,,,,,,,25,650,,,,,,,,,,,,,
Green Basil,74,10,16,,,,,,,22,630,,,,,,,,,,,,,
Green Basil,42,13,45,,,,,,,23,670,,,,,,,,,,,,,
Purple Basil,76,,24,,,,,,,20,500,,,,,,,,,,,,,
Purple Basil,44,32,24,,,,,,,20,450,,,,,,,,,,,,,
Purple Basil,74,10,16,,,,,,,29,520,,,,,,,,,,,,,
Purple Basil,42,13,45,,,,,,,20.5,410,,,,,,,,,,,,,
vanilla,100,,,,2.5,1.4312,0.1256,,,4.4,,3.5,,,,,,,,,,,,
vanilla,,,100,,2.5,1.5312,0.1343,,,3.2,,2.1,,,,,,,,,,,,
vanilla,50,,50,,2.5,2.7642,0.2758,,,4.1,,3.1,,,,,,,,,,,,
mini chal tomato,30,,70,4,7,3.74,0.27,,,12,7,,,,,,,,,,,,,
mini chal tomato,20,20,60,3.8,7.3,3.23,0.22,,,13,6.5,,,,,,,,,,,,,
mini chal tomato,20,40,40,3.8,8,3.45,0.21,,,15,6.8,,,,,,,,,,,,,
Grape,100,,,,3.2,,,,,4.494,,,,,,,,,,,,,,
Grape,,,100,,3.47,,,,,3.058,,,,,,,,,,,,,,
Basil,93,,7,,,,,,,19,,,,,,,,,,,,,,
Basil,70,,30,,,,,,,19.5,,,,,,,,,,,,,,
Dill,93,,7,,,,,,,24.5,,,,,,,,,,,,,,
Dill,70,,30,,,,,,,24.5,,,,,,,,,,,,,,
Parsley,93,,7,,,,,,,20.5,,,,,,,,,,,,,,
Parsley,70,,30,,,,,,,19.5,,,,,,,,,,,,,,
lettuce,100,,,,26,,2,,,12.5,1050,,,,,,,,,,,,,
lettuce,,,100,,28,,3.9,,,12.3,1190,,,,,,,,,,,,,
lettuce,50,,50,,27,,2.35,,,12,900,,,,,,,,,,,,,
Lettice green oak.,75,,25,,8,,,,,7.5,,,,,,,,,,,,,,
lettuce,100,,,8.29,21,83.03,3.75,8.6,0.37,26.413,,,,,,,,,,,,,,
lettuce,,,100,7.41,18,61.71,2.96,6.12,0.29,21.063,,,,,,,,,,,,,,
lettuce,50,,50,7.39,20,74.66,3.04,7.6,0.4,22.765,,,,,,,,,,,,,,
strawberry,100,,,,7.5,,,,,,,,,,20,,,,,,,,,
strawberry,,,100,,7,,,,,,,,,,21,,,,,,,,,
strawberry,50,,50,,8,,,,,,,,,,18,,,,,,,,,
Chinese kale,,,100,11.48,,41.54,3.95,3.11,0.61,17.4,,,,,,,,,,,,,,
Chinese kale,,,100,12.44,,58.74,5.17,3.54,0.67,25.6,,,,,,,,,,,,,,
Chinese kale,,,100,12.92,,56.58,5.41,2.71,0.76,24.27,,,,,,,,,,,,,,
Chinese kale,,,100,12.22,,43.33,4.2,3.93,0.73,19.13,,,,,,,,,,,,,,
Chinese Cabbage,100,,,,,5.93,0.73,1.08,0.14,,,,,,,,,,,,,,,
Chinese Cabbage,,,100,,,6.67,0.49,0.61,0.08,,,,,,,,,,,,,,,
Chinese Cabbage,50,,50,,,5.28,0.53,0.95,0.11,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
